id,name,servings,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,iron_per_serving,isVegetarian,ingredients_count,grams_per_serving,unmatched_ingredients,approximated_ingredients
wheat_dosa,Wheat Dosa,2,324.3,10.2,65.4,1.4,9.1,4.03,true,9,308,,
urad_dal_kachori,Urad Dal Kachori,2,483.6,20.3,92.7,21.2,12.7,5.48,true,16,203,,
eggless_waffles,Eggless Waffles,2,518.9,17.6,60.8,22.6,5.7,2.56,true,8,466,,
dalia,Dalia,1,697.5,25.7,134.2,16.6,26.7,10.44,true,11,568,,
uttapam,Uttapam,6,374.7,22.6,58.8,3.2,38.9,20.93,true,13,407,,
kaddu_paratha,Kaddu Paratha,1,450.2,21.8,78.9,16.6,19.7,18.38,true,10,459,,
rava_kichadi,Rava Kichadi,3,375.9,26.8,52.5,16.7,49.6,24.34,true,15,460,,
broccoli_paratha,Broccoli Paratha,5,208.4,12.1,41.8,4.3,3.9,1.4,true,11,392,,
aloo_masala,Aloo Masala,4,254.3,20.0,31.7,9.7,38.6,19.14,true,14,432,,
beetroot_paratha_stuffed_beet_flatbread,Beetroot Paratha (Stuffed Beet Flatbread),2,388.4,14.0,76.2,6.1,17.1,5.34,true,7,318,,
corn_sandwich,Corn Sandwich,2,59.2,2.2,7.5,2.2,2.3,0.59,true,9,325,,
ghee_roast_dosa,Ghee Roast Dosa,4,831.0,65.7,88.5,13.5,107.0,22.39,true,7,363,,
oats_khichdi,Oats Khichdi,1,124.0,7.2,18.6,20.7,11.0,5.44,true,16,438,,
luchi,Luchi,1,738.5,21.7,155.4,27.2,6.3,3.84,true,3,390,,
jaggery_roti,Jaggery Roti,2,569.5,14.0,103.6,16.3,15.1,6.63,true,7,198,,
kanchipuram_idli,Kanchipuram Idli,9,814.1,43.1,53.4,45.1,51.1,18.26,true,16,313,,
avocado_sandwich,Avocado Sandwich,1,556.2,33.9,79.7,9.4,25.1,11.85,true,9,370,,
sweet_paratha_chini_ka_paratha,Sweet Paratha (Chini Ka Paratha),2,516.3,10.8,66.0,22.7,11.5,4.05,true,5,239,,or 2 teaspoon oil
bread_dosa,Bread Dosa,1,189.3,8.3,32.4,6.7,6.4,3.64,true,12,586,,
chicken_tikka_masala,Chicken Tikka Masala,1,113.5,8.5,12.0,14.8,17.1,10.52,true,16,566,,
chicken_kathi_roll_chicken_frankie,Chicken Kathi Roll (Chicken Frankie),4,306.4,21.4,22.7,16.7,8.4,4.12,false,15,358,,
butter_chicken,Butter Chicken,8,597.3,20.9,116.3,6.3,28.1,10.12,true,23,419,,
dragon_chicken_indo,Dragon Chicken (Indo,5,827.1,26.7,65.4,54.5,49.1,12.08,false,24,383,,high smoke point oil
tandoori_chicken,Tandoori Chicken,2,94.7,7.4,11.7,11.1,9.4,2.5,true,13,485,,
chicken_korma,Chicken Korma,4,715.8,25.0,42.4,54.0,14.3,10.17,true,17,368,,
dum_ka_chicken,Dum Ka Chicken,7,253.5,10.6,33.1,17.5,21.2,8.03,true,22,397,,
chicken_curry,Chicken Curry,3,164.6,7.9,27.4,23.1,16.6,6.25,true,16,369,,
instant_pot_tikka_masala,Instant Pot Tikka Masala,1,101.8,7.0,10.1,40.8,11.2,5.61,true,16,482,,
chicken_vindaloo,Chicken Vindaloo,6,720.8,34.4,95.6,22.8,57.3,19.29,false,18,400,,
chicken_madras_curry,Chicken Madras Curry,3,372.7,11.5,26.7,36.4,20.4,6.97,true,20,420,,
garlic_chicken,Garlic Chicken,2,141.5,9.0,22.7,1.2,8.2,1.87,true,15,471,,
chicken_seekh_kabab,Chicken Seekh Kabab,1,308.1,13.7,19.5,31.6,11.6,9.38,true,14,322,,
malai_chicken,Malai Chicken,6,833.4,27.6,57.2,66.0,19.1,14.54,true,21,366,,
shami_kabab_shami_kebab,Shami Kabab (Shami Kebab),3,407.1,22.1,57.5,8.4,34.7,13.06,false,18,406,,
kadai_chicken,Kadai Chicken,4,357.6,15.8,57.2,14.1,21.7,11.18,true,19,365,,
chicken_jalfrezi,Chicken Jalfrezi,4,92.7,7.2,11.9,17.3,9.5,3.22,true,25,445,,
chicken_bhuna_masala,Chicken Bhuna Masala,6,240.3,11.7,37.9,14.3,19.0,8.28,true,23,380,,
palak_chicken_chicken_saag,Palak Chicken (Chicken Saag,12,840.3,27.8,48.4,61.2,13.0,10.51,true,18,302,,
chicken_biryani,Chicken Biryani,4,467.6,13.8,88.3,11.6,20.1,12.88,true,22,375,,
chicken_sandwich,Chicken Sandwich,1,374.3,5.8,8.3,47.2,6.7,3.78,true,15,484,,
chicken_butter_masala,Chicken Butter Masala,11,654.0,22.6,129.4,5.6,24.9,8.83,true,23,401,,
chicken_tikka,Chicken Tikka,2,45.1,3.0,4.9,7.3,5.6,3.05,true,16,309,,
chicken_kurma,Chicken Kurma,3,868.3,26.7,47.6,71.7,17.4,11.69,true,20,308,,
chilli_chicken,Chilli Chicken,2,412.8,17.7,74.4,29.1,23.4,9.9,false,20,410,,
chicken_kolhapuri,Chicken Kolhapuri,6,583.4,25.2,80.3,22.5,39.3,17.29,true,21,375,,
schezwan_chicken,Schezwan Chicken,2,798.6,47.1,109.8,41.5,60.5,17.13,false,16,411,,
chicken_pakora,Chicken Pakora,1,542.5,37.6,76.4,8.4,23.7,12.94,false,12,537,,
chicken_chettinad,Chicken Chettinad,6,646.3,24.8,55.4,45.5,36.0,12.24,true,23,367,,
shahi_korma,Shahi Korma,8,846.5,28.5,27.4,90.4,15.5,9.27,true,20,404,,
achari_chicken,Achari Chicken,3,179.1,8.9,21.7,35.1,18.9,7.29,true,23,334,,
chicken_masala,Chicken Masala,2,200.0,10.6,31.9,15.2,20.9,8.28,true,15,492,,
hyderabadi_biryani,Hyderabadi Biryani,4,482.5,14.9,83.7,27.5,22.8,15.17,true,26,428,,
chicken_fried_rice,Chicken Fried Rice,3,664.8,18.1,134.5,13.0,8.3,9.05,false,14,401,,
chicken_dum_biryani,Chicken Dum Biryani,5,367.4,11.8,71.3,13.1,14.4,8.66,true,25,371,,
chicken_shawarma,Chicken Shawarma,1,175.6,9.7,20.6,5.3,14.7,5.96,true,15,531,,
chicken_manchurian,Chicken Manchurian,2,148.1,9.0,20.2,2.8,11.7,3.82,false,18,339,,
popcorn_chicken,Popcorn Chicken,1,300.8,25.9,35.5,5.8,4.2,7.27,false,12,552,,
tangdi_kabab_restaurant_style_tangri_kabab,Tangdi Kabab (Restaurant Style Tangri Kabab),1,103.6,6.9,14.8,1.0,8.0,2.78,true,11,412,,
chicken_fry,Chicken Fry,5,735.4,25.3,47.8,58.8,18.5,11.42,true,19,328,,
pepper_chicken,Pepper Chicken,3,427.9,12.5,44.4,42.7,28.5,9.52,true,13,420,,
chicken_patties,Chicken Patties,2,86.9,7.7,6.5,22.2,6.6,3.88,false,11,333,,
methi_chicken,Methi Chicken,4,182.8,10.5,27.5,8.8,19.6,11.44,true,17,410,,
chicken_lollipop,Chicken Lollipop,2,222.1,8.7,39.4,2.2,14.8,4.37,true,15,401,,
chicken_keema,Chicken Keema,3,363.6,19.5,56.3,13.9,22.7,19.71,true,17,425,,
chicken_noodles,Chicken Noodles,1,525.0,19.9,102.8,7.0,8.1,1.98,true,14,536,,
chicken_fry_biryani_kodi_vepudu_biryani,Chicken Fry Biryani (Kodi Vepudu Biryani),10,832.7,26.5,59.6,56.3,10.5,11.17,true,29,290,,
chicken_burger,Chicken Burger,4,272.6,6.9,24.2,16.1,3.4,3.89,false,16,392,,
thalassery_biryani,Thalassery Biryani,5,502.9,15.1,83.2,28.7,22.5,14.37,true,28,388,,
ambur_star_biryani,Ambur Star Biryani,7,621.5,24.2,106.0,14.2,55.3,15.85,true,14,380,,
andhra_chicken_curry,Andhra Chicken Curry,4,352.3,15.7,42.4,33.9,40.0,15.18,true,21,397,,
andhra_chilli_chicken,Andhra Chilli Chicken,2,68.6,5.7,7.5,9.5,9.5,5.1,true,12,321,,
awadhi_chicken_biryani,Awadhi Chicken Biryani,6,334.6,11.4,65.1,11.3,14.6,8.77,true,25,379,,
chettinad_biryani,Chettinad Biryani,8,814.1,18.1,48.0,69.1,21.8,6.4,false,19,336,,
chicken_majestic,Chicken Majestic,1,103.2,7.9,14.1,14.1,9.2,2.07,true,13,563,,
authentic_chana_masala_chickpea_masala,Authentic Chana Masala (Chickpea Masala),2,356.6,19.8,53.5,18.2,35.0,12.96,true,18,414,,
samosa,Samosa,2,556.3,17.8,112.9,27.6,11.5,6.14,true,16,491,,
dal_makhani,Dal Makhani,3,267.0,16.9,43.0,10.3,12.5,4.84,true,13,451,,
rajma,Rajma,2,254.6,17.0,38.1,34.5,18.6,9.17,true,15,354,,
rava_laddu,Rava Laddu,6,752.2,18.5,87.2,44.3,9.1,10.04,true,7,233,,
moong_dal_halwa,Moong Dal Halwa,4,765.8,27.8,15.5,85.2,15.4,5.93,true,10,281,,
jalebi,Jalebi,1,107.6,0.4,24.7,0.2,1.3,0.45,true,11,357,,
rasgulla,Rasgulla,6,365.3,14.5,52.2,10.2,3.9,1.95,true,8,408,,
gulab_jamun,Gulab Jamun,3,367.2,19.5,53.7,9.1,6.0,2.82,true,11,348,,
chicken_nuggets,Chicken Nuggets,1,242.7,14.3,33.7,5.3,5.6,2.42,false,9,525,,
dry_chicken_ghee_roast,Dry Chicken Ghee Roast,2,90.5,6.7,11.6,14.0,9.2,3.74,true,12,360,,
chicken_varuval_chicken_chukka,Chicken Varuval (Chicken Chukka),4,302.2,12.9,44.9,6.6,24.6,6.74,true,16,402,,
gongura_chicken,Gongura Chicken,3,204.2,13.2,24.5,13.3,20.4,8.1,true,14,372,,
grilled_chicken_sandwich,Grilled Chicken Sandwich,2,61.7,4.0,7.4,1.5,5.6,2.31,true,15,382,,
kfc_fried_chicken,Kfc Fried Chicken,6,45.6,3.4,6.4,170.6,1.6,0.8,false,13,386,,
lemon_chicken,Lemon Chicken,4,100.5,11.0,7.9,6.4,14.2,17.41,true,15,353,,
muslim_biryani,Muslim Biryani,11,287.4,14.4,41.6,9.3,19.6,19.78,true,27,400,,
chicken_spring_rolls,Chicken Spring Rolls,3,385.1,13.4,73.5,10.8,5.6,1.05,true,12,438,,
chicken_soup,Chicken Soup,2,321.8,14.4,54.0,5.8,35.2,11.6,true,12,475,,
savory_french_toast_spicy_masala_french_toast,Savory French Toast (Spicy Masala French Toast),1,275.2,29.0,12.8,11.9,6.3,10.46,false,13,477,,
rava_uttapam_sooji_uttapam,Rava Uttapam (Sooji Uttapam),2,296.5,11.2,58.1,17.0,12.4,4.77,true,12,322,,
bread_upma_for_breakfast,Bread Upma For Breakfast,6,753.3,24.6,33.6,60.0,6.0,8.2,true,15,198,,
egg_toast,Egg Toast,1,154.4,14.5,3.4,21.7,4.0,4.28,false,10,368,,
khara_bath,Khara Bath,7,854.7,28.3,48.2,64.4,8.8,9.79,true,18,235,,
mooli_paratha_radish_paratha,Mooli Paratha (Radish Paratha),3,302.8,12.4,57.0,24.5,7.5,9.71,true,13,361,,
bhatura,Bhatura,1,867.1,26.2,182.0,14.6,10.0,4.94,true,7,368,,
